,director_name,actor_2_name,genres,actor_1_name,movie_title,actor_3_name,combined
15,Zack Snyder,Christopher Meloni,Action Adventure Fantasy Sci-Fi,Henry Cavill,man of steel,Harry Lennix,Zack Snyder Christopher Meloni Action Adventure Fantasy Sci-Fi Henry Cavill Harry Lennix
16,Andrew Adamson,Pierfrancesco Favino,Action Adventure Family Fantasy,Peter Dinklage,the chronicles of narnia: prince caspian,Damián Alcázar,Andrew Adamson Pierfrancesco Favino Action Adventure Family Fantasy Peter Dinklage Damián Alcázar
17,Joss Whedon,Robert Downey Jr.,Action Adventure Sci-Fi,Chris Hemsworth,the avengers,Scarlett Johansson,Joss Whedon Robert Downey Jr. Action Adventure Sci-Fi Chris Hemsworth Scarlett Johansson
18,Rob Marshall,Sam Claflin,Action Adventure Fantasy,Johnny Depp,pirates of the caribbean: on stranger tides,Stephen Graham,Rob Marshall Sam Claflin Action Adventure Fantasy Johnny Depp Stephen Graham
19,Barry Sonnenfeld,Michael Stuhlbarg,Action Adventure Comedy Family Fantasy Sci-Fi,Will Smith,men in black 3,Nicole Scherzinger,Barry Sonnenfeld Michael Stuhlbarg Action Adventure Comedy Family Fantasy Sci-Fi Will Smith Nicole Scherzinger
20,Peter Jackson,Adam Brown,Adventure Fantasy,Aidan Turner,the hobbit: the battle of the five armies,James Nesbitt,Peter Jackson Adam Brown Adventure Fantasy Aidan Turner James Nesbitt
21,Marc Webb,Andrew Garfield,Action Adventure Fantasy,Emma Stone,the amazing spider-man,Chris Zylka,Marc Webb Andrew Garfield Action Adventure Fantasy Emma Stone Chris Zylka
22,Ridley Scott,William Hurt,Action Adventure Drama History,Mark Addy,robin hood,Scott Grimes,Ridley Scott William Hurt Action Adventure Drama History Mark Addy Scott Grimes
23,Peter Jackson,Adam Brown,Adventure Fantasy,Aidan Turner,the hobbit: the desolation of smaug,James Nesbitt,Peter Jackson Adam Brown Adventure Fantasy Aidan Turner James Nesbitt
24,Chris Weitz,Eva Green,Adventure Family Fantasy,Christopher Lee,the golden compass,Kristin Scott Thomas,Chris Weitz Eva Green Adventure Family Fantasy Christopher Lee Kristin Scott Thomas
25,Peter Jackson,Thomas Kretschmann,Action Adventure Drama Romance,Naomi Watts,king kong,Evan Parke,Peter Jackson Thomas Kretschmann Action Adventure Drama Romance Naomi Watts Evan Parke
26,James Cameron,Kate Winslet,Drama Romance,Leonardo DiCaprio,titanic,Gloria Stuart,James Cameron Kate Winslet Drama Romance Leonardo DiCaprio Gloria Stuart
27,Anthony Russo,Scarlett Johansson,Action Adventure Sci-Fi,Robert Downey Jr.,captain america: civil war,Chris Evans,Anthony Russo Scarlett Johansson Action Adventure Sci-Fi Robert Downey Jr. Chris Evans
28,Peter Berg,Alexander Skarsgård,Action Adventure Sci-Fi Thriller,Liam Neeson,battleship,Tadanobu Asano,Peter Berg Alexander Skarsgård Action Adventure Sci-Fi Thriller Liam Neeson Tadanobu Asano
29,Colin Trevorrow,Judy Greer,Action Adventure Sci-Fi Thriller,Bryce Dallas Howard,jurassic world,Omar Sy,Colin Trevorrow Judy Greer Action Adventure Sci-Fi Thriller Bryce Dallas Howard Omar Sy
30,Sam Mendes,Helen McCrory,Action Adventure Thriller,Albert Finney,skyfall,Rory Kinnear,Sam Mendes Helen McCrory Action Adventure Thriller Albert Finney Rory Kinnear
31,Sam Raimi,James Franco,Action Adventure Fantasy Romance,J.K. Simmons,spider-man 2,Kirsten Dunst,Sam Raimi James Franco Action Adventure Fantasy Romance J.K. Simmons Kirsten Dunst
32,Shane Black,Jon Favreau,Action Adventure Sci-Fi,Robert Downey Jr.,iron man 3,Don Cheadle,Shane Black Jon Favreau Action Adventure Sci-Fi Robert Downey Jr. Don Cheadle
33,Tim Burton,Alan Rickman,Adventure Family Fantasy,Johnny Depp,alice in wonderland,Anne Hathaway,Tim Burton Alan Rickman Adventure Family Fantasy Johnny Depp Anne Hathaway
34,Brett Ratner,Kelsey Grammer,Action Adventure Fantasy Sci-Fi Thriller,Hugh Jackman,x-men: the last stand,Daniel Cudmore,Brett Ratner Kelsey Grammer Action Adventure Fantasy Sci-Fi Thriller Hugh Jackman Daniel Cudmore
35,Dan Scanlon,Tyler Labine,Adventure Animation Comedy Family Fantasy,Steve Buscemi,monsters university,Sean Hayes,Dan Scanlon Tyler Labine Adventure Animation Comedy Family Fantasy Steve Buscemi Sean Hayes
36,Michael Bay,Kevin Dunn,Action Adventure Sci-Fi,Glenn Morshower,transformers: revenge of the fallen,Ramon Rodriguez,Michael Bay Kevin Dunn Action Adventure Sci-Fi Glenn Morshower Ramon Rodriguez
37,Michael Bay,Sophia Myles,Action Adventure Sci-Fi,Bingbing Li,transformers: age of extinction,Kelsey Grammer,Michael Bay Sophia Myles Action Adventure Sci-Fi Bingbing Li Kelsey Grammer
38,Sam Raimi,Mila Kunis,Adventure Family Fantasy,Tim Holmes,oz the great and powerful,James Franco,Sam Raimi Mila Kunis Adventure Family Fantasy Tim Holmes James Franco
39,Marc Webb,Andrew Garfield,Action Adventure Fantasy Sci-Fi,Emma Stone,the amazing spider-man 2,B.J. Novak,Marc Webb Andrew Garfield Action Adventure Fantasy Sci-Fi Emma Stone B.J. Novak
40,Joseph Kosinski,Olivia Wilde,Action Adventure Sci-Fi,Jeff Bridges,tron: legacy,James Frain,Joseph Kosinski Olivia Wilde Action Adventure Sci-Fi Jeff Bridges James Frain
41,John Lasseter,Thomas Kretschmann,Adventure Animation Comedy Family Sport,Joe Mantegna,cars 2,Eddie Izzard,John Lasseter Thomas Kretschmann Adventure Animation Comedy Family Sport Joe Mantegna Eddie Izzard
42,Martin Campbell,Temuera Morrison,Action Adventure Sci-Fi,Ryan Reynolds,green lantern,Taika Waititi,Martin Campbell Temuera Morrison Action Adventure Sci-Fi Ryan Reynolds Taika Waititi
43,Lee Unkrich,John Ratzenberger,Adventure Animation Comedy Family Fantasy,Tom Hanks,toy story 3,Don Rickles,Lee Unkrich John Ratzenberger Adventure Animation Comedy Family Fantasy Tom Hanks Don Rickles
44,McG,Bryce Dallas Howard,Action Adventure Sci-Fi,Christian Bale,terminator salvation,Common,McG Bryce Dallas Howard Action Adventure Sci-Fi Christian Bale Common
45,James Wan,Paul Walker,Action Crime Thriller,Jason Statham,furious 7,Vin Diesel,James Wan Paul Walker Action Crime Thriller Jason Statham Vin Diesel
46,Marc Forster,Brad Pitt,Action Adventure Horror Sci-Fi Thriller,Peter Capaldi,world war z,Mireille Enos,Marc Forster Brad Pitt Action Adventure Horror Sci-Fi Thriller Peter Capaldi Mireille Enos
47,Bryan Singer,Peter Dinklage,Action Adventure Fantasy Sci-Fi Thriller,Jennifer Lawrence,x-men: days of future past,Hugh Jackman,Bryan Singer Peter Dinklage Action Adventure Fantasy Sci-Fi Thriller Jennifer Lawrence Hugh Jackman
48,J.J. Abrams,Bruce Greenwood,Action Adventure Sci-Fi,Benedict Cumberbatch,star trek into darkness,Noel Clarke,J.J. Abrams Bruce Greenwood Action Adventure Sci-Fi Benedict Cumberbatch Noel Clarke
49,Bryan Singer,Ewen Bremner,Adventure Fantasy,Eddie Marsan,jack the giant slayer,Ralph Brown,Bryan Singer Ewen Bremner Adventure Fantasy Eddie Marsan Ralph Brown
50,Baz Luhrmann,Elizabeth Debicki,Drama Romance,Leonardo DiCaprio,the great gatsby,Steve Bisley,Baz Luhrmann Elizabeth Debicki Drama Romance Leonardo DiCaprio Steve Bisley
51,Mike Newell,Richard Coyle,Action Adventure Fantasy Romance,Jake Gyllenhaal,prince of persia: the sands of time,Reece Ritchie,Mike Newell Richard Coyle Action Adventure Fantasy Romance Jake Gyllenhaal Reece Ritchie
52,Guillermo del Toro,Clifton Collins Jr.,Action Adventure Sci-Fi,Charlie Hunnam,pacific rim,Larry Joe Campbell,Guillermo del Toro Clifton Collins Jr. Action Adventure Sci-Fi Charlie Hunnam Larry Joe Campbell
53,Michael Bay,Lester Speight,Action Adventure Sci-Fi,Glenn Morshower,transformers: dark of the moon,Kevin Dunn,Michael Bay Lester Speight Action Adventure Sci-Fi Glenn Morshower Kevin Dunn
54,Steven Spielberg,Ray Winstone,Action Adventure Fantasy,Harrison Ford,indiana jones and the kingdom of the crystal skull,Jim Broadbent,Steven Spielberg Ray Winstone Action Adventure Fantasy Harrison Ford Jim Broadbent
55,Peter Sohn,Jack McGraw,Adventure Animation Comedy Family Fantasy,A.J. Buckley,the good dinosaur,Peter Sohn,Peter Sohn Jack McGraw Adventure Animation Comedy Family Fantasy A.J. Buckley Peter Sohn
56,Mark Andrews,John Ratzenberger,Adventure Animation Comedy Family Fantasy,Kelly Macdonald,brave,Julie Walters,Mark Andrews John Ratzenberger Adventure Animation Comedy Family Fantasy Kelly Macdonald Julie Walters
57,Justin Lin,Melissa Roxburgh,Action Adventure Sci-Fi Thriller,Sofia Boutella,star trek beyond,Lydia Wilson,Justin Lin Melissa Roxburgh Action Adventure Sci-Fi Thriller Sofia Boutella Lydia Wilson
58,Andrew Stanton,Fred Willard,Adventure Animation Family Sci-Fi,John Ratzenberger,wall·e,Jeff Garlin,Andrew Stanton Fred Willard Adventure Animation Family Sci-Fi John Ratzenberger Jeff Garlin
59,Brett Ratner,Dana Ivey,Action Comedy Crime Thriller,Tzi Ma,rush hour 3,Noémie Lenoir,Brett Ratner Dana Ivey Action Comedy Crime Thriller Tzi Ma Noémie Lenoir
60,Roland Emmerich,Liam James,Action Adventure Sci-Fi,Oliver Platt,2012,Tom McCarthy,Roland Emmerich Liam James Action Adventure Sci-Fi Oliver Platt Tom McCarthy
61,Robert Zemeckis,Colin Firth,Animation Drama Family Fantasy,Robin Wright,a christmas carol,Gary Oldman,Robert Zemeckis Colin Firth Animation Drama Family Fantasy Robin Wright Gary Oldman
62,Lana Wachowski,Mila Kunis,Action Adventure Sci-Fi,Channing Tatum,jupiter ascending,Eddie Redmayne,Lana Wachowski Mila Kunis Action Adventure Sci-Fi Channing Tatum Eddie Redmayne
63,David Yates,Alexander Skarsgård,Action Adventure Drama Romance,Christoph Waltz,the legend of tarzan,Casper Crump,David Yates Alexander Skarsgård Action Adventure Drama Romance Christoph Waltz Casper Crump
64,Andrew Adamson,Kiran Shah,Adventure Family Fantasy,Jim Broadbent,"the chronicles of narnia: the lion, the witch and the wardrobe",Shane Rangi,Andrew Adamson Kiran Shah Adventure Family Fantasy Jim Broadbent Shane Rangi
65,Bryan Singer,Michael Fassbender,Action Adventure Sci-Fi,Jennifer Lawrence,x-men: apocalypse,Tye Sheridan,Bryan Singer Michael Fassbender Action Adventure Sci-Fi Jennifer Lawrence Tye Sheridan
66,Christopher Nolan,Heath Ledger,Action Crime Drama Thriller,Christian Bale,the dark knight,Morgan Freeman,Christopher Nolan Heath Ledger Action Crime Drama Thriller Christian Bale Morgan Freeman
67,Pete Docter,Delroy Lindo,Adventure Animation Comedy Family,John Ratzenberger,up,Jess Harnell,Pete Docter Delroy Lindo Adventure Animation Comedy Family John Ratzenberger Jess Harnell
68,Rob Letterman,Rainn Wilson,Action Adventure Animation Comedy Family Sci-Fi,Amy Poehler,monsters vs. aliens,Stephen Colbert,Rob Letterman Rainn Wilson Action Adventure Animation Comedy Family Sci-Fi Amy Poehler Stephen Colbert
69,Jon Favreau,Jeff Bridges,Action Adventure Sci-Fi,Robert Downey Jr.,iron man,Jon Favreau,Jon Favreau Jeff Bridges Action Adventure Sci-Fi Robert Downey Jr. Jon Favreau
70,Martin Scorsese,Christopher Lee,Adventure Drama Family Mystery,Chloë Grace Moretz,hugo,Ray Winstone,Martin Scorsese Christopher Lee Adventure Drama Family Mystery Chloë Grace Moretz Ray Winstone
71,Barry Sonnenfeld,Salma Hayek,Action Comedy Sci-Fi Western,Will Smith,wild wild west,Bai Ling,Barry Sonnenfeld Salma Hayek Action Comedy Sci-Fi Western Will Smith Bai Ling
72,Rob Cohen,Brendan Fraser,Action Adventure Fantasy Horror Thriller,Jet Li,the mummy: tomb of the dragon emperor,Russell Wong,Rob Cohen Brendan Fraser Action Adventure Fantasy Horror Thriller Jet Li Russell Wong
73,David Ayer,Robin Atkin Downes,Action Adventure Comedy Sci-Fi,Will Smith,suicide squad,Ike Barinholtz,David Ayer Robin Atkin Downes Action Adventure Comedy Sci-Fi Will Smith Ike Barinholtz
74,Tom Shadyac,Morgan Freeman,Comedy Family Fantasy,Jimmy Bennett,evan almighty,Steve Carell,Tom Shadyac Morgan Freeman Comedy Family Fantasy Jimmy Bennett Steve Carell
75,Doug Liman,Lara Pulver,Action Adventure Sci-Fi,Tom Cruise,edge of tomorrow,Noah Taylor,Doug Liman Lara Pulver Action Adventure Sci-Fi Tom Cruise Noah Taylor
76,Kevin Reynolds,Rick Aviles,Action Adventure Sci-Fi Thriller,Jeanne Tripplehorn,waterworld,Zakes Mokae,Kevin Reynolds Rick Aviles Action Adventure Sci-Fi Thriller Jeanne Tripplehorn Zakes Mokae
77,Stephen Sommers,Dennis Quaid,Action Adventure Sci-Fi Thriller,Joseph Gordon-Levitt,g.i. joe: the rise of cobra,Leo Howard,Stephen Sommers Dennis Quaid Action Adventure Sci-Fi Thriller Joseph Gordon-Levitt Leo Howard
78,Pete Docter,Mindy Kaling,Adventure Animation Comedy Drama Family Fantasy,Amy Poehler,inside out,Phyllis Smith,Pete Docter Mindy Kaling Adventure Animation Comedy Drama Family Fantasy Amy Poehler Phyllis Smith
79,Jon Favreau,Bill Murray,Adventure Drama Family Fantasy,Scarlett Johansson,the jungle book,Garry Shandling,Jon Favreau Bill Murray Adventure Drama Family Fantasy Scarlett Johansson Garry Shandling
80,Jon Favreau,Scarlett Johansson,Action Adventure Sci-Fi,Robert Downey Jr.,iron man 2,Jon Favreau,Jon Favreau Scarlett Johansson Action Adventure Sci-Fi Robert Downey Jr. Jon Favreau
81,Rupert Sanders,Kristen Stewart,Action Adventure Drama Fantasy,Chris Hemsworth,snow white and the huntsman,Sam Claflin,Rupert Sanders Kristen Stewart Action Adventure Drama Fantasy Chris Hemsworth Sam Claflin
82,Robert Stromberg,Sharlto Copley,Action Adventure Family Fantasy Romance,Angelina Jolie Pitt,maleficent,Sam Riley,Robert Stromberg Sharlto Copley Action Adventure Family Fantasy Romance Angelina Jolie Pitt Sam Riley
83,Matt Reeves,Judy Greer,Action Adventure Drama Sci-Fi,Gary Oldman,dawn of the planet of the apes,Kodi Smit-McPhee,Matt Reeves Judy Greer Action Adventure Drama Sci-Fi Gary Oldman Kodi Smit-McPhee
84,Roland Joffé,Alice Englert,Action Adventure Romance Sci-Fi,Tamsin Egerton,the lovers,Bipasha Basu,Roland Joffé Alice Englert Action Adventure Romance Sci-Fi Tamsin Egerton Bipasha Basu
85,Carl Rinsch,Cary-Hiroyuki Tagawa,Action Adventure Drama Fantasy,Keanu Reeves,47 ronin,Jin Akanishi,Carl Rinsch Cary-Hiroyuki Tagawa Action Adventure Drama Fantasy Keanu Reeves Jin Akanishi
86,Anthony Russo,Chris Evans,Action Adventure Sci-Fi,Scarlett Johansson,captain america: the winter soldier,Hayley Atwell,Anthony Russo Chris Evans Action Adventure Sci-Fi Scarlett Johansson Hayley Atwell
87,Mike Mitchell,Kathy Griffin,Adventure Animation Comedy Family Fantasy,Jon Hamm,shrek forever after,Mary Kay Place,Mike Mitchell Kathy Griffin Adventure Animation Comedy Family Fantasy Jon Hamm Mary Kay Place
88,Brad Bird,Chris Bauer,Action Adventure Family Mystery Sci-Fi,Judy Greer,tomorrowland,Thomas Robinson,Brad Bird Chris Bauer Action Adventure Family Mystery Sci-Fi Judy Greer Thomas Robinson
89,Don Hall,Daniel Henney,Action Adventure Animation Comedy Drama Family Sci-Fi,Damon Wayans Jr.,big hero 6,Abraham Benrubi,Don Hall Daniel Henney Action Adventure Animation Comedy Drama Family Sci-Fi Damon Wayans Jr. Abraham Benrubi
90,Rich Moore,Sarah Silverman,Adventure Animation Comedy Family Sci-Fi,Jack McBrayer,wreck-it ralph,Joe Lo Truglio,Rich Moore Sarah Silverman Adventure Animation Comedy Family Sci-Fi Jack McBrayer Joe Lo Truglio
91,Robert Zemeckis,Eddie Deezen,Adventure Animation Family Fantasy,Tom Hanks,the polar express,Peter Scolari,Robert Zemeckis Eddie Deezen Adventure Animation Family Fantasy Tom Hanks Peter Scolari
92,Roland Emmerich,Sela Ward,Action Adventure Sci-Fi,Vivica A. Fox,independence day: resurgence,Judd Hirsch,Roland Emmerich Sela Ward Action Adventure Sci-Fi Vivica A. Fox Judd Hirsch
93,Dean DeBlois,America Ferrera,Adventure Animation Family Fantasy,Gerard Butler,how to train your dragon,Craig Ferguson,Dean DeBlois America Ferrera Adventure Animation Family Fantasy Gerard Butler Craig Ferguson
94,Jonathan Mostow,M.C. Gainey,Action Sci-Fi,Nick Stahl,terminator 3: rise of the machines,Carolyn Hennesy,Jonathan Mostow M.C. Gainey Action Sci-Fi Nick Stahl Carolyn Hennesy
95,James Gunn,Vin Diesel,Action Adventure Sci-Fi,Bradley Cooper,guardians of the galaxy,Djimon Hounsou,James Gunn Vin Diesel Action Adventure Sci-Fi Bradley Cooper Djimon Hounsou
96,Christopher Nolan,Anne Hathaway,Adventure Drama Sci-Fi,Matthew McConaughey,interstellar,Mackenzie Foy,Christopher Nolan Anne Hathaway Adventure Drama Sci-Fi Matthew McConaughey Mackenzie Foy
97,Christopher Nolan,Tom Hardy,Action Adventure Sci-Fi Thriller,Leonardo DiCaprio,inception,Joseph Gordon-Levitt,Christopher Nolan Tom Hardy Action Adventure Sci-Fi Thriller Leonardo DiCaprio Joseph Gordon-Levitt
98,Hideaki Anno,Shin'ya Tsukamoto,Action Adventure Drama Horror Sci-Fi,Mark Chinnery,godzilla resurgence,Atsuko Maeda,Hideaki Anno Shin'ya Tsukamoto Action Adventure Drama Horror Sci-Fi Mark Chinnery Atsuko Maeda
99,Peter Jackson,Adam Brown,Adventure Fantasy,Aidan Turner,the hobbit: an unexpected journey,James Nesbitt,Peter Jackson Adam Brown Adventure Fantasy Aidan Turner James Nesbitt
100,Rob Cohen,Vin Diesel,Action Crime Thriller,Paul Walker,the fast and the furious,Jordana Brewster,Rob Cohen Vin Diesel Action Crime Thriller Paul Walker Jordana Brewster
101,David Fincher,Jason Flemyng,Drama Fantasy Romance,Brad Pitt,the curious case of benjamin button,Julia Ormond,David Fincher Jason Flemyng Drama Fantasy Romance Brad Pitt Julia Ormond
102,Matthew Vaughn,Michael Fassbender,Action Adventure Sci-Fi,Jennifer Lawrence,x-men: first class,Oliver Platt,Matthew Vaughn Michael Fassbender Action Adventure Sci-Fi Jennifer Lawrence Oliver Platt
103,Francis Lawrence,Philip Seymour Hoffman,Adventure Sci-Fi,Jennifer Lawrence,the hunger games: mockingjay - part 2,Josh Hutcherson,Francis Lawrence Philip Seymour Hoffman Adventure Sci-Fi Jennifer Lawrence Josh Hutcherson
104,Jon Turteltaub,Omar Benson Miller,Action Adventure Family Fantasy,Nicolas Cage,the sorcerer's apprentice,Robert Capron,Jon Turteltaub Omar Benson Miller Action Adventure Family Fantasy Nicolas Cage Robert Capron
105,Wolfgang Petersen,Mike Vogel,Action Adventure Drama Thriller,Jimmy Bennett,poseidon,Andre Braugher,Wolfgang Petersen Mike Vogel Action Adventure Drama Thriller Jimmy Bennett Andre Braugher
106,James Bobin,Alan Rickman,Adventure Family Fantasy,Johnny Depp,alice through the looking glass,Anne Hathaway,James Bobin Alan Rickman Adventure Family Fantasy Johnny Depp Anne Hathaway
107,Chris Miller,Eric Idle,Adventure Animation Comedy Family Fantasy,Justin Timberlake,shrek the third,Rupert Everett,Chris Miller Eric Idle Adventure Animation Comedy Family Fantasy Justin Timberlake Rupert Everett
108,Duncan Jones,Callum Rennie,Action Adventure Fantasy,Dominic Cooper,warcraft,Ruth Negga,Duncan Jones Callum Rennie Action Adventure Fantasy Dominic Cooper Ruth Negga
109,Alan Taylor,Emilia Clarke,Action Adventure Sci-Fi,J.K. Simmons,terminator genisys,Matt Smith,Alan Taylor Emilia Clarke Action Adventure Sci-Fi J.K. Simmons Matt Smith
110,Michael Apted,Shane Rangi,Adventure Family Fantasy,Bruce Spence,the chronicles of narnia: the voyage of the dawn treader,Laura Brent,Michael Apted Shane Rangi Adventure Family Fantasy Bruce Spence Laura Brent
111,Michael Bay,Jaime King,Action Drama History Romance War,Jennifer Garner,pearl harbor,Mako,Michael Bay Jaime King Action Drama History Romance War Jennifer Garner Mako
112,Michael Bay,Michael O'Neill,Action Adventure Sci-Fi,Zack Ward,transformers,Kevin Dunn,Michael Bay Michael O'Neill Action Adventure Sci-Fi Zack Ward Kevin Dunn
113,Oliver Stone,Angelina Jolie Pitt,Action Adventure Biography Drama History Romance War,Anthony Hopkins,alexander,Brian Blessed,Oliver Stone Angelina Jolie Pitt Action Adventure Biography Drama History Romance War Anthony Hopkins Brian Blessed
114,David Yates,Daniel Radcliffe,Adventure Family Fantasy Mystery,Robert Pattinson,harry potter and the order of the phoenix,Fiona Shaw,David Yates Daniel Radcliffe Adventure Family Fantasy Mystery Robert Pattinson Fiona Shaw
115,Mike Newell,Daniel Radcliffe,Adventure Family Fantasy Mystery,Robert Pattinson,harry potter and the goblet of fire,Rupert Grint,Mike Newell Daniel Radcliffe Adventure Family Fantasy Mystery Robert Pattinson Rupert Grint
116,Peter Berg,Charlize Theron,Action Drama,Will Smith,hancock,Eddie Marsan,Peter Berg Charlize Theron Action Drama Will Smith Eddie Marsan
117,Francis Lawrence,Alice Braga,Drama Horror Sci-Fi,Will Smith,i am legend,Willow Smith,Francis Lawrence Alice Braga Drama Horror Sci-Fi Will Smith Willow Smith
118,Tim Burton,Christopher Lee,Adventure Comedy Family Fantasy,Johnny Depp,charlie and the chocolate factory,David Kelly,Tim Burton Christopher Lee Adventure Comedy Family Fantasy Johnny Depp David Kelly
119,Brad Bird,John Ratzenberger,Animation Comedy Family Fantasy,Janeane Garofalo,ratatouille,Brian Dennehy,Brad Bird John Ratzenberger Animation Comedy Family Fantasy Janeane Garofalo Brian Dennehy
120,Christopher Nolan,Liam Neeson,Action Adventure,Christian Bale,batman begins,Morgan Freeman,Christopher Nolan Liam Neeson Action Adventure Christian Bale Morgan Freeman
121,Eric Darnell,Jada Pinkett Smith,Action Adventure Animation Comedy Family,Bernie Mac,madagascar: escape 2 africa,Cedric the Entertainer,Eric Darnell Jada Pinkett Smith Action Adventure Animation Comedy Family Bernie Mac Cedric the Entertainer
122,Shawn Levy,Rami Malek,Adventure Comedy Family Fantasy,Robin Williams,night at the museum: battle of the smithsonian,Steve Coogan,Shawn Levy Rami Malek Adventure Comedy Family Fantasy Robin Williams Steve Coogan
123,Gavin Hood,Ryan Reynolds,Action Adventure Fantasy Sci-Fi Thriller,Hugh Jackman,x-men origins: wolverine,Dominic Monaghan,Gavin Hood Ryan Reynolds Action Adventure Fantasy Sci-Fi Thriller Hugh Jackman Dominic Monaghan
124,Lana Wachowski,Collin Chou,Action Sci-Fi,Essie Davis,the matrix revolutions,Nona Gaye,Lana Wachowski Collin Chou Action Sci-Fi Essie Davis Nona Gaye
125,Chris Buck,Maurice LaMarche,Adventure Animation Comedy Family Fantasy Musical,Josh Gad,frozen,Livvy Stubenrauch,Chris Buck Maurice LaMarche Adventure Animation Comedy Family Fantasy Musical Josh Gad Livvy Stubenrauch
126,Lana Wachowski,Daniel Bernhardt,Action Sci-Fi,Steve Bastoni,the matrix reloaded,Helmut Bakaitis,Lana Wachowski Daniel Bernhardt Action Sci-Fi Steve Bastoni Helmut Bakaitis
127,Alan Taylor,Natalie Portman,Action Adventure Fantasy,Chris Hemsworth,thor: the dark world,Anthony Hopkins,Alan Taylor Natalie Portman Action Adventure Fantasy Chris Hemsworth Anthony Hopkins
128,George Miller,Charlize Theron,Action Adventure Sci-Fi Thriller,Tom Hardy,mad max: fury road,Zoë Kravitz,George Miller Charlize Theron Action Adventure Sci-Fi Thriller Tom Hardy Zoë Kravitz
129,Ron Howard,Ayelet Zurer,Mystery Thriller,Tom Hanks,angels & demons,Armin Mueller-Stahl,Ron Howard Ayelet Zurer Mystery Thriller Tom Hanks Armin Mueller-Stahl
130,Kenneth Branagh,Natalie Portman,Action Adventure Fantasy,Chris Hemsworth,thor,Anthony Hopkins,Kenneth Branagh Natalie Portman Action Adventure Fantasy Chris Hemsworth Anthony Hopkins
131,Byron Howard,Diedrich Bader,Adventure Animation Comedy Drama Family,Chloë Grace Moretz,bolt,James Lipton,Byron Howard Diedrich Bader Adventure Animation Comedy Drama Family Chloë Grace Moretz James Lipton
132,Hoyt Yeatman,Piper Mackenzie Harris,Action Adventure Animation Comedy Family Fantasy Sci-Fi,Kelli Garner,g-force,Niecy Nash,Hoyt Yeatman Piper Mackenzie Harris Action Adventure Animation Comedy Family Fantasy Sci-Fi Kelli Garner Niecy Nash
133,Jonathan Liebesman,Edgar Ramírez,Action Adventure Fantasy,Liam Neeson,wrath of the titans,Lily James,Jonathan Liebesman Edgar Ramírez Action Adventure Fantasy Liam Neeson Lily James
